ID,Bank,City,State,Date,Acquired by,Assets ($mil.)
99,Madisonville State Bank,Madisonville,Texas,"October 30, 2009","U.S. Bank, N.A.",257
100,Security Savings Bank,Henderson,Nevada,"February 27, 2009",Bank of Nevada,"238,3"
101,Heritage Community Bank,Glenwood,Illinois,"February 27, 2009","MB Financial Bank, N.A.","232,9"
102,Security Bank of North Metro,Woodstock,Georgia,"July 24, 2009",State Bank and Trust Company,224
103,Ocala National Bank,Ocala,Florida,"January 30, 2009","CenterState Bank of Florida, N.A.","223,5"
104,Neighborhood Community Bank,Newnan,Georgia,"June 26, 2009",Charterbank,"221,6"
105,Bank of Lincolnwood,Lincolnwood,Illinois,"June 5, 2009",Republic Bank of Chicago,214
106,"Bank USA, N.A.",Phoenix,Arizona,"October 30, 2009","U.S. Bank, N.A.",213
107,InBank,Oak Forest,Illinois,"September 4, 2009","MB Financial Bank, N.A.",212
108,Security Bank of North Fulton,Alpharetta,Georgia,"July 24, 2009",State Bank and Trust Company,209
109,Community First Bank,Prineville,Oregon,"August 7, 2009",Home Federal Bank,209
110,Greater Atlantic Bank,Reston,Virginia,"December 4, 2009",Sonabank,203
111,Prosperan Bank,Oakdale,Minnesota,"November 6, 2009","Alerus Financial, N.A.",200
112,Community Bank of West Georgia,Villa Rica,Georgia,"June 26, 2009",None (insured depositors paid directly),"199,4"
113,Flagship National Bank,Bradenton,Florida,"October 23, 2009",First Federal Bank of Florida,190
114,Michigan Heritage Bank,Farmington Hills,Michigan,"April 24, 2009",Level One Bank,"184,6"
115,American Sterling Bank,Sugar Creek,Missouri,"April 17, 2009",Metcalf Bank,181
116,Freedom Bank of Georgia,Commerce,Georgia,"March 6, 2009",Northeast Georgia Bank,173
117,Benchmark Bank,Aurora,Illinois,"December 4, 2009","MB Financial Bank, N.A.",170
118,Citizens State Bank,New Baltimore,Michigan,"December 18, 2009",None (insured depositors paid directly),169
119,First Coweta Bank,Newnan,Georgia,"August 21, 2009",United Bank,167
120,First National Bank of Danville,Danville,Illinois,"July 2, 2009","First Financial Bank, N.A.",166
121,First BankAmericano,Elizabeth,New Jersey,"July 31, 2009",Crown Bank,166
122,Community Bank of Nevada,Las Vegas,Nevada,"August 14, 2009",None (insured depositors paid directly),159
123,United Security Bank,Sparta,Georgia,"November 6, 2009",Ameris Bank,157
124,Fist National Bank of Anthony,Anthony,Kansas,"June 19, 2009",Bank of Kansas,"156,9"
125,Community Bank of Arizona,Phoenix,Arizona,"August 14, 2009",MidFirst Bank,156
126,ebank,Atlanta,Georgia,"August 21, 2009","Stearns Bank, N.A.",143
127,Pacific Coast National Bank,San Clemente,California,"November 13, 2009",Sunwest Bank,134
128,Silver Falls Bank,Silverton,Oregon,"February 20, 2009",Citizens Bank,"131,4"
129,Sherman County Bank,Loup City,Nebraska,"February 13, 2009",Heritage Bank,"129,8"
130,First Security National Bank,Norcross,Georgia,"December 4, 2009",State Bank and Trust,128
131,"Union Bank, NA",Gilbert,Arizona,"August 14, 2009",MidFirst Bank,124
132,Colorado National Bank,Colorado Springs,Colorado,"March 20, 2009",Herring Bank,"123,9"
133,Integrity Bank,Jupiter,Florida,"July 31, 2009",Stonegate Bank,119
134,Millennium State Bank of Texas,Dallas,Texas,"July 2, 2009",State Bank of Texas,118
135,Citizens National Bank,Teague,Texas,"October 30, 2009","U.S. Bank, N.A.",118
136,First Piedmont Bank,Winder,Georgia,"July 17, 2009",First American Bank and Trust Company,115
137,American Southern Bank,Kennesaw,Georgia,"April 24, 2009",Bank of North Georgia,"112,3"
138,American United Bank,Lawrenceville,Georgia,"October 23, 2009",Ameris Bank,111
139,Riverview Community Bank,Otsego,Minnesota,"October 23, 2009",Central Bank,108
140,First State Bank,Flagstaff,Arizona,"September 4, 2009",Sunwest Bank,105
141,First State Bank of Altus,Altus,Oklahoma,"July 31, 2009",Herring Bank,103
142,Community National Bank of Sarasota County,Venice,Florida,"August 7, 2009","Stearns Bank, N.A.",97
143,Horizon Bank,Pine City,Minnesota,"June 26, 2009","Stearns Bank, N.A.","87,6"
144,Hillcrest Bank Florida,Naples,Florida,"October 23, 2009","Hillcrest Bank, N.A.",83
145,Community Bank of Lemont,Lemont,Illinois,"October 30, 2009","U.S. Bank, N.A.",82
146,MetroPacific Bank,Irvine,California,"June 26, 2009",Sunwest Bank,80
147,Commerce Bank of Southwest Florida,Fort Myers,Florida,"November 20, 2009",Central Bank,80
148,Rock River Bank,Oregon,Illinois,"July 2, 2009",The Harvard State Bank,77
149,Pinnacle Bank of Oregon,Beaverton,Oregon,"February 13, 2009",Washington Trust Bank of Spokane,73
150,Brickwell Community Bank,Woodbury,Minnesota,"September 11, 2009","CorTrust Bank, N.A.",72
151,John Warner Bank,Clinton,Illinois,"July 2, 2009",State Bank of Lincoln,70
152,Bank of Wyoming,Thermopolis,Wyoming,"July 10, 2009",Central Bank and Trust,70
153,Partners Bank,Naples,Florida,"October 23, 2009",Stonegate Bank,66
154,Waterford Village Bank,Williamsville,New York,"July 24, 2009","Evans Bank, N.A.",61
155,Elizabeth State Bank,Elizabeth,Illinois,"July 2, 2009",Galena State Bank and Trust Company,56
156,Jennings State Bank,Spring Grove,Minnesota,"October 2, 2009",Central Bank,56
157,The Tattnall Bank,Reidsville,Georgia,"December 4, 2009",Heritage Bank of the South,50
158,Citizens Community Bank,Ridgewood,New Jersey,"May 1, 2009",North Jersey Community Bank,"45,1"
159,South Colorado National Bank,Pueblo,Colorado,"October 2, 2009",Legacy Bank,40
160,"Valley Capital Bank, N.A.",Mesa,Arizona,"December 11, 2009",Enterprise Bank and Trust,40
161,First State Bank of Winchester,Winchester,Illinois,"July 2, 2009",The First National Bank of Beardstown,36
162,Gateway Bank of St. Louis,St. Louis,Missouri,"November 6, 2009",Central Bank of Kansas City,28
163,First Bank of Kansas City,Kansas City,Missouri,"September 4, 2009",Great American Bank,16
164,Home Federal Savings Bank,Detroit,Michigan,"November 6, 2009",Liberty Bank and Trust Company,15
165,Dwelling House Savings and Loan Association,Pittsburgh,Pennsylvania,"August 14, 2009","PNC Bank, N.A.",13
166,Westernbank Puerto Rico,Mayaguez,Puerto Rico,"April 30, 2010",Banco Popular de Puerto Rico,11940
167,R-G Premier Bank of Puerto Rico,Hato Rey,Puerto Rico,"April 30, 2010",Scotiabank de Puerto Rico,5920
168,La Jolla Bank,La Jolla,California,"February 19, 2010","OneWest Bank, FSB",3600
169,Frontier Bank,Everett,Washington,"April 30, 2010","Union Bank, N.A.",3500
170,Riverside National Bank of Florida,Fort Pierce,Florida,"April 16, 2010","TD Bank, N.A.",3420
171,Amcore Bank,Rockford,Illinois,"April 23, 2010","Harris, N.A.",3400
172,Midwest Bank and Trust Company,Elmwood Park,Illinois,"May 14, 2010","FirstMerit Bank, N.A.",3170
173,TierOne Bank,Lincoln,Nebraska,"June 4, 2010",Great Western Bank,2800
174,Eurobank,San Juan,Puerto Rico,"April 30, 2010",Orient Bank and Trust,2560
175,First Regional Bank,Los Angeles,California,"January 29, 2010",First-Citizens Bank and Trust Company,2180
176,ShoreBank,Chicago,Illinois,"August 20, 2010",Urban Partnership Bank,2160
177,CF Bancorp,Port Huron,Michigan,"April 30, 2010",First Michigan Bank,1650
178,Advanta Bank Corp,Draper,Utah,"March 19, 2010",None (insured depositors paid directly),1600
179,Hillcrest Bank,Overland Park,Kansas,"October 22, 2010","Hillcrest Bank, N.A.",1600
180,Horizon Bank,Bellingham,Washington,"January 8, 2010",Washington Federal Savings and Loan Association,1300
181,Community Bank and Trust,Cornelia,Georgia,"January 29, 2010","SCBT, NA",1210
182,Charter Bank,Sante Fe,New Mexico,"January 22, 2010",Charter Bank,1200
183,Broadway Bank,Chicago,Illinois,"April 23, 2010","MB Financial, N.A.",1200
184,Premier Bank,Jefferson City,Missouri,"October 15, 2010",Providence Bank,1200
185,City Bank,Lynnwood,Washington,"April 16, 2010",Whidbey Island Bank,1130
186,Columbia River Bank,The Dalles,Oregon,"January 22, 2010",Columbia State Bank,1100
187,Appalachian Community Bank,Ellijay,Georgia,"March 19, 2010",Community and Southern Bank,1010
188,Crescent Bank and Trust Co,Jasper,Georgia,"July 23, 2010",Renasant Bank,1000
189,Florida Community Bank,Immokalee,Florida,"January 29, 2010","Premier American Bank, N.A.",876
190,Los Padres Bank,Solvang,California,"August 20, 2010",Pacific Western Bank,870
191,First National Bank of Georgia,Carrollton,Georgia,"January 29, 2010",Community and Southern Bank,833
192,Barnes Banking Company,Kaysville,Utah,"January 15, 2010",None (insured depositors paid directly),828
193,First Banking Center,Burlington,Wisconsin,"November 19, 2010",First Michigan Bank,821
194,LibertyBank,Eugene,Oregon,"July 30, 2010",Home Federal Bank,768
195,Rainier Pacific Bank,Tacoma,Washington,"February 26, 2010",Umpqua Bank,718
196,First National Bank of the South,Spartanburg,South Carolina,"July 16, 2010",NAFH National Bank,682
197,Darby Bank & Trust,Vidalia,Georgia,"November 12, 2010",Ameris Bank,655
198,Peninsula Bank,Englewood,Florida,"June 25, 2010","Premier American Bank, N.A.",644
199,Bank of Florida-Southwest,Naples,Florida,"May 28, 2010",EverBank,641
200,Tamalpais Bank,San Rafael,California,"April 16, 2010","Union Bank, N.A.",629
201,Bank of Florida-Southeast,Fort Lauderdale,Florida,"May 28, 2010",EverBank,595
202,Beach First National Bank,Myrtle Beach,South Carolina,"April 9, 2010",Bank of North Carolina,585
203,Home National Bank,Blackwell,Oklahoma,"July 9, 2010",RCB Bank,561
204,K Bank,Randallstown,Maryland,"November 5, 2010",Manufacturers and Traders Trust Company,538
205,Sun American Bank,Boca Raton,Florida,"March 5, 2010",First-Citizens Bank and Trust Company,536
206,The Cowlitz Bank,Longview,Washington,"July 30, 2010",Heritage Bank,529
207,Washington First International Bank,Seattle,Washington,"June 11, 2010",East West Bank,521
208,The Park Avenue Bank,New York,New York,"March 12, 2010",Valley National Bank,520
209,"Security Savings Bank, FSB",Olathe,Kansas,"October 15, 2010",Simmons First National Bank,508
210,Butte Community Bank,Chico,California,"August 20, 2010","Rabobbank, N.A.",499
211,Desert Hills Bank,Phoenix,Arizona,"March 26, 2010",New York Community Bank,497
212,Palos Bank and Trust,Palos Heights,Illinois,"August 13, 2010",First Midwest Bank,493
213,Evergreen Bank,Seattle,Washington,"January 22, 2010",Umpqua Bank,489
214,New Century Bank,Chicago,Illinois,"April 23, 2010","MB Financial, N.A.",486
215,Nevada Security Bank,Reno,Nevada,"June 18, 2010",Umpqua Bank,480
216,"The Bank of Miami, N.A.",Coral Gables,Florida,"December 17, 2010",1st United Bank,448
217,Peoples Bank,Winder,Georgia,"September 17, 2010",Community and Southern Bank,447
218,Metro Bank of Dade County,Miami,Florida,"July 16, 2010",NAFH National Bank,442
219,Wheatland Bank,Naperville,Illinois,"April 23, 2010",Wheaton Bank and Trust,437
220,Wakulla Bank,Crawfordville,Florida,"October 1, 2010",Centennial Bank,424
221,George Washington Savings Bank,Orland Park,Illinois,"February 19, 2010","FirstMerit Bank, N.A.",413
222,Sterling Bank,Lantana,Florida,"July 23, 2010",IBERIABANK,408
223,First Federal Bank of North Florida,Palatka,Florida,"April 16, 2010","TD Bank, N.A.",393
224,Bank of Hiawassee,Hiawassee,Georgia,"March 19, 2010",Citizens South Bank,378
225,Woodlands Bank,Bluffton,South Carolina,"July 16, 2010",Bank of the Ozarks,376
226,American Marine Bank,Bainbridge Island,Washington,"January 29, 2010",Columbia State Bank,373
227,Coastal Community Bank,Panama City,Florida,"July 30, 2010",Centennial Bank,373
228,McIntosh Commercial Bank,Carrollton,Georgia,"March 26, 2010",Hamilton State Bank,363
229,Sun West Bank,Las Vegas,Nevada,"May 28, 2010",City National Bank,361
230,Premier American Bank,Miami,Florida,"January 22, 2010","Premier American Bank, N.A.",351
231,Maritime Savings Bank,West Allis,Wisconsin,"September 17, 2010","North Shore Bank, FSB",351
232,Sonoma Valley Bank,Sonoma,California,"August 20, 2010",Westamerica Bank,337
233,1st Pacific Bank of California,San Diego,California,"May 7, 2010",City National Bank,336
234,Old Southern Bank,Orlando,Florida,"March 12, 2010",Centennial Bank,316
235,Pacific State Bank,Stockton,California,"August 20, 2010","Rabobbank, N.A.",312
236,Unity National Bank,Cartersville,Georgia,"March 26, 2010",Bank of the Ozarks,292
237,North County Bank,Arlington,Washington,"September 24, 2010",Whidbey Island Bank,289
238,Bay National Bank,Baltimore,Maryland,"July 9, 2010","Bay Bank, FSB",282
239,First Arizona Savings,Scottsdale,Arizona,"October 22, 2010",None (insured depositors paid directly),272
240,Innovative Bank,Oakland,California,"April 16, 2010",Center Bank,269
241,Butler Bank,Lowell,Massachusetts,"April 16, 2010",People's United Bank,268
242,Ravenswood Bank,Chicago,Illinois,"August 6, 2010",Northbrook Bank and Trust Company,265
243,Turnberry Bank,Aventura,Florida,"July 16, 2010",NAFH National Bank,264
244,First National Bank,Savannah,Georgia,"June 25, 2010",The Savannah Bank,253
245,Paramount Bank,Farmington Hills,Michigan,"December 10, 2010",Level One Bank,253
246,Home Valley Bank,Cave Junction,Oregon,"July 23, 2010",South Valley Bank and Trust,252
247,First Commerce Community Bank,Douglasville,Georgia,"September 17, 2010",Community and Southern Bank,248
248,Bank of Florida-Tampa Bay,Tampa,Florida,"May 28, 2010",EverBank,245
249,Chestatee State Bank,Dawsonville,Georgia,"December 17, 2010",Bank of the Ozarks,244
250,Statewide Bank,Covington,Louisiana,"March 12, 2010",Home Bank,243
251,The Bank of Bonifay,Bonifay,Florida,"May 7, 2010",First Federal Bank of Florida,243
252,Pierce Commercial Bank,Tacoma,Washington,"November 5, 2010",Heritage Bank,221
253,Centennial Bank,Ogden,Utah,"March 5, 2010",None (insured depositors paid directly),215
254,SouthwestUSA Bank,Las Vegas,Nevada,"July 23, 2010",Plaza Bank,214
255,Bank of Illinois,Normal,Illinois,"March 5, 2010",Heartland Bank and Trust Company,212
256,LibertyPointe Bank,New York,New York,"March 12, 2010",Valley National Bank,210
257,Copper Star Bank,Scottsdale,Arizona,"November 12, 2010","Stearns Bank, N.A.",204
258,Lincoln Park Saving Bank,Chicago,Illinois,"April 23, 2010",Northbrook Bank and Trust Company,200
259,United Americas Bank,Atlanta,Georgia,"December 17, 2010",State Bank and Trust Company,194
260,USA Bank,Port Chester,New York,"July 9, 2010",New Century Bank,190
261,Horizon Bank,Bradenton,Florida,"September 10, 2010",Bank of the Ozarks,188
262,Champion Bank,Creve Coeur,Missouri,"April 30, 2010",BankLiberty,187
263,Olde Cypress Community Bank,Clewiston,Florida,"July 16, 2010",CenterState Bank of Florida,169
264,Bank of Ellijay,Ellijay,Georgia,"September 17, 2010",Community and Southern Bank,169
265,NorthWest Bank and Trust,Acworth,Georgia,"July 30, 2010",State Bank and Trust Company,168
266,Waterfield Bank,Germantown,Maryland,"March 5, 2010",None (insured depositors paid directly),156
267,Independent National Bank,Ocala,Florida,"August 20, 2010",CenterState Bank of Florida,156
268,First Southern Bank,Batesville,Arkansas,"December 17, 2010",Southern Bank,156
269,Haven Trust Bank Florida,Ponte Vedra Beach,Florida,"September 24, 2010",First Southern Bank,149
270,First Suburban National Bank,Maywood,Illinois,"October 22, 2010",Seaway Bank and Trust Company,149
271,Tifton Banking Company,Tifton,Georgia,"November 12, 2010",Ameris Bank,144
272,Williamsburg First National Bank,Kingstree,South Carolina,"July 23, 2010",First Citizens Bank and Trust Company,139
273,First Lowndes Bank,Luverne,Alabama,"March 19, 2010",First Citizens Bank,137
274,Satilla Community Bank,St. Marys,Georgia,"May 14, 2010",Ameris Bank,136
275,First National Bank of Barnesville,Barnesville,Georgia,"October 22, 2010",United Bank,131
276,Peotone Bank and Trust Company,Peotone,Illinois,"April 23, 2010",First Midwest Bank,130
277,Marco Community Bank,Marco Island,Florida,"February 19, 2010",Mutual of Omaha Bank,120
278,Towne Bank of Arizona,Mesa,Arizona,"May 7, 2010",Commerce Bank of Arizona,120
279,Earthstar Bank,Southampton,Pennsylvania,"December 10, 2010",Polonia Bank,113
280,Gulf State Community Bank,Carrabelle,Florida,"November 19, 2010",Centennial Bank,112
281,Progress Bank of Florida,Tampa,Florida,"October 22, 2010",Bay Cities Bank,111
282,New Liberty Bank,Plymouth,Michigan,"May 14, 2010",Bank of Ann Arbor,109
283,Community Security Bank,New Prague,Minnesota,"July 23, 2010",Roundbank,108
284,Allegiance Bank of North America,Bala Cynwyd,Pennsylvania,"November 19, 2010",VIST Bank,106
285,Shoreline Bank,Shoreline,Washington,"October 1, 2010",GBC International Bank,104
286,Granite Community Bank,Granite Bay,California,"May 28, 2010",Tri Counties Bank,103
287,Western Commercial Bank,Woodland Hills,California,"November 5, 2010",First California Bank,99
288,Century Security Bank,Duluth,Georgia,"March 19, 2010",Bank of Upson,97
289,Southwest Community Bank,Springfield,Missouri,"May 14, 2010",Simmons First National Bank,97
290,Mainstreet Savings Bank,Hastings,Michigan,"July 16, 2010",Commercial Bank,97
291,WestBridge Bank and Trust Company,Chesterfield,Missouri,"October 15, 2010",Midland State Bank,92
292,AmericanFirst Bank,Clermont,Florida,"April 16, 2010","TD Bank, N.A.",91
293,Key West Bank,Key West,Florida,"March 26, 2010",Centennial Bank,88
294,ISN Bank,Cherry Hill,New Jersey,"September 17, 2010",Customers Bank,82
295,High Desert State Bank,Albuquerque,New Mexico,"June 25, 2010",First American Bank,81
296,First Bank of Jacksonville,Jacksonville,Florida,"October 22, 2010",Ameris Bank,81
297,Citizens Bank and Trust Company of Chicago,Chicago,Illinois,"April 23, 2010",Republic Bank of Chicago,77
298,Town Community Bank & Trust,Antioch,Illinois,"January 15, 2010",First American Bank,70
299,American National Bank,Parma,Ohio,"March 19, 2010",The National Bank and Trust Company,70
300,Community National Bank at Bartow,Bartow,Florida,"August 20, 2010",CenterState Bank of Florida,68
301,Appalachian Community Bank,McCaysville,Georgia,"December 17, 2010",Peoples Bank of East Tennessee,68
302,BC National Banks,Butler,Missouri,"April 30, 2010",Community First Bank,67
303,Bayside Savings Bank,Port Saint Joe,Florida,"July 30, 2010",Centennial Bank,66
304,Pinehurst Bank,St. Paul,Minnesota,"May 21, 2010",Coulee Bank,61
305,"Marshall Bank, N.A.",Hallock,Minnesota,"January 29, 2010",United Valley Bank,60
306,First National Bank,Rosedale,Mississippi,"June 4, 2010",The Jefferson Bank,60
307,The La Coste National Bank,La Coste,Texas,"February 19, 2010",Community National Bank,54
308,Lakeside Community Bank,Sterling Heights,Michigan,"April 16, 2010",None (insured depositors paid directly),53
309,Carson River Community Bank,Carson City,Nevada,"February 26, 2010",Heritage Bank of Nevada,51
310,Bramble Savings Bank,Milford,Ohio,"September 17, 2010",Foundation Bank,48
311,First Vietnamese American Bank,Westminster,California,"November 5, 2010",Grandpoint Bank,48
312,Thunder Bank,Sylvan Grove,Kansas,"July 23, 2010",The Bennington State Bank,33
313,Access Bank,Champlin,Minnesota,"May 7, 2010",PrinsBank,32
314,Gordon Bank,Gordon,Georgia,"October 22, 2010",Morris Bank,29
315,Community National Bank,Lino Lakes,Minnesota,"December 17, 2010",Farmers & Merchants Savings Bank,29
316,State Bank of Aurora,Aurora,Minnesota,"March 19, 2010",Northern State Bank,28
